participant_id,task_type,control,extension,diff_s,speedup_pct
151,find,90.542,102.851,-12.308999999999997,-13.6
152,find,27.287,33.861,-6.573999999999998,-24.1
152,guide,76.59,77.359,-0.7689999999999912,-1.0
152,hide,43.097,40.159,2.9380000000000024,6.8
154,find,99.401,33.25,66.151,66.5
154,guide,18.138,35.705,-17.566999999999997,-96.9
154,hide,2.577,26.337,-23.759999999999998,-922.0
155,find,14.581,55.705,-41.123999999999995,-282.0
155,guide,25.225,82.754,-57.529,-228.1
155,hide,180.0,18.894,161.106,89.5
156,find,32.238,86.968,-54.730000000000004,-169.8
156,guide,30.612,69.291,-38.679,-126.4
156,hide,88.009,82.591,5.418000000000006,6.2
157,find,136.566,53.333,83.233,60.9
157,guide,91.842,139.161,-47.319,-51.5
157,hide,107.226,34.927,72.299,67.4
158,find,132.436,81.586,50.85000000000001,38.4
158,guide,103.345,120.92,-17.575000000000003,-17.0
158,hide,133.018,39.545,93.473,70.3
159,find,63.681,76.446,-12.765,-20.0
159,guide,148.692,68.421,80.271,54.0
159,hide,111.443,30.978,80.465,72.2
160,find,157.068,30.825,126.24300000000001,80.4
160,guide,29.656,89.279,-59.623,-201.0
160,hide,180.013,82.975,97.03800000000001,53.9
161,find,72.7,45.523,27.177,37.4
161,guide,87.216,93.615,-6.399000000000001,-7.3
161,hide,45.819,64.879,-19.060000000000002,-41.6
162,find,100.851,21.46,79.39099999999999,78.7
162,guide,8.619,49.258,-40.639,-471.5
162,hide,30.426,27.946,2.479999999999997,8.2
163,find,25.712,35.014,-9.302000000000003,-36.2
163,guide,2.897,61.174,-58.277,-2011.6
163,hide,2.144,21.315,-19.171,-894.2
167,find,130.582,52.885,77.697,59.5
167,guide,180.002,75.767,104.23500000000001,57.9
167,hide,7.146,127.538,-120.392,-1684.7
169,find,85.638,8.34,77.298,90.3
169,guide,22.409,125.117,-102.708,-458.3
169,hide,29.497,60.649,-31.152,-105.6
170,find,22.374,181.001,-158.627,-709.0
170,guide,23.601,180.999,-157.398,-666.9
170,hide,108.787,137.88,-29.09299999999999,-26.7
171,find,29.51,52.655,-23.145,-78.4
171,guide,36.194,88.649,-52.455,-144.9
171,hide,50.393,24.63,25.763,51.1
172,find,165.934,93.588,72.346,43.6
172,guide,180.001,67.858,112.143,62.3
172,hide,35.046,28.934,6.111999999999998,17.4
173,find,67.797,23.474,44.32299999999999,65.4
173,guide,110.617,95.683,14.933999999999997,13.5
173,hide,83.782,53.833,29.948999999999998,35.7
174,find,97.79,81.628,16.162000000000006,16.5
174,guide,82.7,180.002,-97.302,-117.7
174,hide,180.003,180.003,0.0,0.0
70,find,96.684,95.462,1.2219999999999942,1.3
70,guide,96.626,180.002,-83.376,-86.3
70,hide,60.496,27.379,33.117000000000004,54.7
71,find,44.273,61.334,-17.061,-38.5
71,guide,42.992,180.0,-137.008,-318.7
71,hide,118.845,42.446,76.399,64.3
72,find,40.928,89.148,-48.22,-117.8
72,guide,46.502,138.047,-91.54499999999999,-196.9
72,hide,63.47,68.923,-5.453000000000003,-8.6
73,find,133.527,54.71,78.81699999999998,59.0
73,guide,117.73,131.091,-13.361000000000004,-11.3
73,hide,77.411,29.113,48.298,62.4
74,find,50.753,71.864,-21.111000000000004,-41.6
74,guide,180.015,103.371,76.64399999999999,42.6
74,hide,104.49,43.471,61.019,58.4
75,find,50.419,74.712,-24.293000000000006,-48.2
75,guide,23.903,56.32,-32.417,-135.6
75,hide,55.829,34.387,21.442,38.4
76,find,152.212,48.269,103.94299999999998,68.3
76,guide,94.161,85.9,8.260999999999996,8.8
76,hide,48.514,52.528,-4.013999999999996,-8.3
78,find,42.806,23.596,19.209999999999997,44.9
78,guide,49.864,42.118,7.745999999999995,15.5
78,hide,112.457,24.07,88.387,78.6
79,find,130.833,82.477,48.355999999999995,37.0
79,guide,134.297,66.631,67.666,50.4
79,hide,113.433,40.732,72.70100000000001,64.1
80,find,180.008,65.533,114.47500000000001,63.6
80,guide,83.398,180.011,-96.613,-115.8
80,hide,1.406,61.848,-60.442,-4298.9
81,find,180.009,61.095,118.91399999999999,66.1
81,guide,180.013,180.011,0.0020000000000095497,0.0
81,hide,41.146,37.369,3.777000000000001,9.2
82,find,178.263,120.196,58.06700000000001,32.6
82,guide,14.289,112.062,-97.773,-684.3
82,hide,69.961,25.89,44.071,63.0
83,find,126.995,54.374,72.62100000000001,57.2
83,guide,88.561,46.223,42.33800000000001,47.8
83,hide,147.58,23.863,123.71700000000001,83.8
