Task,Question,N,Mean,Median,SD,Min,Max
FIND,Difficulty without XWebAgent,15,3.73,4.0,1.44,2,6
FIND,Ease with XWebAgent,15,5.4,6.0,1.35,2,7
FIND,Accuracy,15,6.0,6.0,0.76,5,7
GUIDE,Difficulty without XWebAgent,15,4.27,4.0,1.67,1,7
GUIDE,Ease with XWebAgent,15,4.93,6.0,1.94,1,7
GUIDE,Accuracy,14,5.29,6.0,1.64,2,7
HIDE,Difficulty without XWebAgent,15,5.6,6.0,1.18,3,7
HIDE,Ease with XWebAgent,15,5.67,6.0,1.84,1,7
